620,383
549,277
634,379
635,379
642,392
633,379
635,380
657,388
642,392
654,387
629,378
627,378
634,391
650,385
513,267
634,382
552,277
552,277
622,383
517,265
626,382
638,395
640,394
639,395
627,383
498,268
626,382
629,382
637,396
630,381
630,382
625,383
635,386
551,277
550,278
638,396
551,277
637,396
628,381
630,381
550,278
633,384
551,278
633,394
630,383
550,278
623,384
631,383
623,384
635,396
631,382
633,390
629,382
633,394
552,278
638,397
651,389
626,384
516,259
550,279
632,393
550,278
626,384
635,397
507,263
550,278
627,384
552,278
639,397
522,260
551,278
636,397
632,390
636,397
632,393
500,266
551,278
628,384
628,384
549,278
529,260
656,390
551,279
639,396
629,385
627,385
632,395
516,258
509,238
630,386
637,398
641,395
628,386
631,392
649,392
631,386
630,386
653,390
625,386
645,394
630,388
539,261
645,394
632,394
510,257
629,387
627,388
541,262
630,388
629,386
642,395
504,239
628,389
630,392
628,389
643,395
633,398
643,395
650,392
539,260
542,263
656,413
639,399
657,391
641,398
640,399
522,255
541,261
655,392
548,281
548,281
508,245
657,392
659,391
653,414
638,400
659,393
657,408
643,398
504,245
657,407
503,244
638,401
535,256
643,397
539,258
500,246
649,514
541,260
638,511
539,258
539,281
657,401
538,256
574,291
501,254
653,394
549,283
548,283
542,281
642,399
639,402
715,564
538,256
714,563
526,252
543,281
548,283
716,563
715,562
545,282
542,281
495,242
714,560
712,562
539,256
635,405
712,562
546,283
498,259
713,562
661,435
713,563
715,562
539,257
643,399
547,283
548,283
542,261
544,282
539,256
539,255
540,282
659,435
713,560
711,561
662,438
656,399
712,559
495,243
711,560
541,258
711,561
712,561
648,396
538,254
720,558
526,251
639,402
526,251
526,251
645,397
549,284
546,283
720,557
645,528
663,441
720,557
542,282
543,282
644,399
666,438
623,554
527,251
544,282
539,254
665,437
634,406
635,408
665,438
645,398
656,444
549,285
544,282
664,440
549,285
719,556
720,556
706,562
635,409
538,282
636,407
547,284
639,403
668,445
543,282
649,445
548,285
548,284
641,402
541,254
548,285
454,260
669,446
660,444
636,407
705,561
641,402
719,555
705,561
547,285
705,560
538,283
543,282
544,283
539,282
547,285
635,409
717,554
542,257
541,253
637,416
630,412
703,563
453,257
704,558
640,404
703,551
718,553
704,559
543,283
547,286
542,283
548,286
702,553
541,253
703,559
549,286
718,554
547,285
542,257
659,445
651,416
641,402
703,557
704,558
549,286
542,256
547,286
704,551
701,556
635,419
703,558
637,409
635,420
637,419
639,425
640,404
637,419
717,553
643,420
452,256
548,286
703,549
661,448
636,422
547,286
702,550
646,419
701,551
634,424
639,423
642,417
452,265
703,548
639,422
634,427
668,447
633,426
646,453
701,554
702,549
702,553
701,550
643,401
637,426
455,258
668,447
496,247
701,554
635,426
547,286
452,265
700,547
639,415
458,259
545,285
457,258
547,287
628,414
699,551
460,262
454,257
649,397
697,566
655,410
457,258
496,247
645,399
640,434
642,416
457,259
541,283
699,555
642,416
647,418
637,428
460,263
701,557
548,287
699,554
547,286
632,425
700,552
631,425
700,550
659,449
641,426
459,261
644,531
632,424
632,425
632,422
459,262
640,434
699,558
632,429
640,414
644,425
698,554
698,550
698,550
699,549
545,285
665,518
632,430
653,534
701,546
631,426
698,552
640,428
650,451
547,287
630,427
684,550
636,430
648,419
492,264
647,416
544,259
632,432
701,546
699,558
684,550
699,558
644,424
683,550
643,416
658,449
453,267
469,262
471,253
