"BehaviorSpace results (NetLogo 6.1.1)"
"/Users/markzhou/Documents/GitHub/GameTheoryFloodReloc/Netlogo/ObjRun.nlogo"
"best_Subsidy"
"11/19/2019 14:22:31:478 -0600"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-1000","0","0","1000"
"[run number]","Subsidy","Moving_Cost_Multiplier","[step]","OBJECTIVE"
"112","10000","5","101","2.465344577350326E8"
"113","20000","5","101","2.4448770432492918E8"
"114","30000","5","101","2.444878524437325E8"
"115","40000","5","101","2.433060061285066E8"
"116","50000","5","101","2.4145521674741247E8"
"117","60000","5","101","2.4077442480025882E8"
"118","70000","5","101","2.405757077271934E8"
"120","90000","5","101","2.4094132968386674E8"
"119","80000","5","101","2.3992391867554286E8"
"121","100000","5","101","2.395447519765729E8"
"122","0","5.1","101","2.5971579362909317E8"
"123","10000","5.1","101","2.605322660875791E8"
"124","20000","5.1","101","2.6050772688149452E8"
"125","30000","5.1","101","2.6067036591752395E8"
"126","40000","5.1","101","2.592023844311076E8"
"127","50000","5.1","101","2.590575264406889E8"
"128","60000","5.1","101","2.5903752410263017E8"
"129","70000","5.1","101","2.5811559527485827E8"
"130","80000","5.1","101","2.5703694925138146E8"
"131","90000","5.1","101","2.568803496563261E8"
"132","100000","5.1","101","2.558276434556581E8"
"133","0","5.2","101","2.792625489445664E8"
"134","10000","5.2","101","2.796889630090338E8"
"136","30000","5.2","101","2.779378943200106E8"
"135","20000","5.2","101","2.781888837918681E8"
"137","40000","5.2","101","2.74481131365965E8"
"138","50000","5.2","101","2.739832893467028E8"
"139","60000","5.2","101","2.7261963094967365E8"
"140","70000","5.2","101","2.7310923604163814E8"
"141","80000","5.2","101","2.7356288436420083E8"
"142","90000","5.2","101","2.7262272848838997E8"
"143","100000","5.2","101","2.719413795622987E8"
"144","0","5.3","101","2.946426126683031E8"
"145","10000","5.3","101","2.9329697781497467E8"
"146","20000","5.3","101","2.915446624964844E8"
"148","40000","5.3","101","2.9271367075113714E8"
"147","30000","5.3","101","2.915201250301897E8"
"149","50000","5.3","101","2.921840065426485E8"
"150","60000","5.3","101","2.909242140653184E8"
"151","70000","5.3","101","2.9001892277681065E8"
"152","80000","5.3","101","2.8966361061407226E8"
"153","90000","5.3","101","2.8818086403255016E8"
"154","100000","5.3","101","2.8768658470819163E8"
"155","0","5.4","101","3.173306742649295E8"
"156","10000","5.4","101","3.1585043680842215E8"
"157","20000","5.4","101","3.1487027686610883E8"
"158","30000","5.4","101","3.1265217588936067E8"
"159","40000","5.4","101","3.093458915491486E8"
"161","60000","5.4","101","3.073997188235553E8"
"160","50000","5.4","101","3.0803327010077554E8"
"162","70000","5.4","101","3.0494870979417694E8"
"163","80000","5.4","101","3.0506585621486866E8"
"164","90000","5.4","101","3.052510993868662E8"
"165","100000","5.4","101","3.053141101127693E8"
"166","0","5.5","101","3.346957878004434E8"
"167","10000","5.5","101","3.348521240854877E8"
"168","20000","5.5","101","3.324071249150675E8"
"169","30000","5.5","101","3.308307955774272E8"
"170","40000","5.5","101","3.297732651927862E8"
"172","60000","5.5","101","3.270902634220451E8"
"171","50000","5.5","101","3.280220365640905E8"
"173","70000","5.5","101","3.2452962856629467E8"
"174","80000","5.5","101","3.236486693991126E8"
"175","90000","5.5","101","3.2324728929701906E8"
"176","100000","5.5","101","3.2227041106874317E8"
"177","0","5.6","101","3.592848490145005E8"
"178","10000","5.6","101","3.5754243686945796E8"
"179","20000","5.6","101","3.5644979559246314E8"
"180","30000","5.6","101","3.522234837089975E8"
"181","40000","5.6","101","3.5033037677044046E8"
"182","50000","5.6","101","3.479560693927331E8"
"183","60000","5.6","101","3.477873180442244E8"
"184","70000","5.6","101","3.453096855183125E8"
"185","80000","5.6","101","3.4312774402222705E8"
"186","90000","5.6","101","3.4076439260755914E8"
"187","100000","5.6","101","3.3968946229054886E8"
"188","0","5.7","101","3.782396999321279E8"
"189","10000","5.7","101","3.780784127543804E8"
"190","20000","5.7","101","3.776216936264002E8"
"191","30000","5.7","101","3.7640996661613417E8"
"192","40000","5.7","101","3.7489761887164325E8"
"193","50000","5.7","101","3.7286586614859974E8"
"194","60000","5.7","101","3.6941788328092617E8"
"195","70000","5.7","101","3.689980988481116E8"
"196","80000","5.7","101","3.6545735784646344E8"
"197","90000","5.7","101","3.632164083827162E8"
"198","100000","5.7","101","3.612154313577457E8"
"199","0","5.8","101","4.014498787634828E8"
"200","10000","5.8","101","3.9849429817746043E8"
"201","20000","5.8","101","3.9865096080060804E8"
"202","30000","5.8","101","3.962407392924139E8"
"203","40000","5.8","101","3.932373926008471E8"
"204","50000","5.8","101","3.9159372934621423E8"
