Year,Objective
0,0
1,0
2,0
3,0
4,0
5,0
6,0
7,1.84E+08
8,1.03E+09
9,2.39E+09
10,4.37E+09
11,5.81E+09
12,5.81E+09
13,5.86E+09
14,5.97E+09
15,6.35E+09
16,6.35E+09
17,6.35E+09
18,6.35E+09
19,6.35E+09
20,6.35E+09
21,6.35E+09
22,6.35E+09
23,6.35E+09
24,6.35E+09
25,6.35E+09
26,6.35E+09
27,6.35E+09
28,6.35E+09
29,6.35E+09
30,6.35E+09
31,6.35E+09
32,6.35E+09
33,6.35E+09
34,6.35E+09
35,6.35E+09
36,6.35E+09
37,6.35E+09
38,6.35E+09
39,6.35E+09
40,6.35E+09
41,6.35E+09
42,6.35E+09
43,6.35E+09
44,6.35E+09
45,6.35E+09
46,6.35E+09
47,6.35E+09
48,6.35E+09
49,6.35E+09
50,6.35E+09
51,6.35E+09
52,6.35E+09
53,6.35E+09
54,6.35E+09
55,6.35E+09
56,6.35E+09
57,6.35E+09
58,6.35E+09
59,6.35E+09
60,6.35E+09
61,6.35E+09
62,6.35E+09
63,6.35E+09
64,6.35E+09
65,6.35E+09
66,6.35E+09
67,6.35E+09
68,6.35E+09
69,6.35E+09
70,6.35E+09
71,6.35E+09
72,6.35E+09
73,6.35E+09
74,6.35E+09
75,6.35E+09
76,6.35E+09
77,6.35E+09
78,6.35E+09
79,6.35E+09
80,6.35E+09
81,6.35E+09
