Year,Objective
0,0
1,0
2,0
3,0
4,0
5,0
6,0
7,0
8,0
9,0
10,0
11,0
12,0
13,0
14,0
15,0
16,0
17,0
18,0
19,0
20,0
21,0
22,0
23,0
24,0
25,0
26,0
27,0
28,0
29,0
30,0
31,0
32,0
33,0
34,0
35,0
36,0
37,0
38,0
39,0
40,0
41,0
42,0
43,0
44,0
45,0
46,0
47,0
48,0
49,0
50,5.75E+08
51,1.85E+09
52,3.44E+09
53,5.30E+09
54,7.39E+09
55,1.04E+10
56,1.19E+10
57,1.38E+10
58,1.59E+10
59,1.83E+10
60,2.03E+10
61,2.17E+10
62,2.22E+10
63,2.22E+10
64,2.22E+10
65,2.22E+10
66,2.23E+10
67,2.23E+10
68,2.25E+10
69,2.27E+10
70,2.35E+10
71,2.38E+10
72,2.38E+10
73,2.38E+10
74,2.38E+10
75,2.38E+10
76,2.38E+10
77,2.38E+10
78,2.38E+10
79,2.38E+10
80,2.38E+10
81,2.38E+10
