Year,Objective
0,0
1,0
2,0
3,0
4,0
5,0
6,0
7,0
8,0
9,0
10,0
11,0
12,0
13,0
14,0
15,0
16,0
17,0
18,0
19,0
20,2.26E+09
21,5.48E+09
22,9.75E+09
23,1.59E+10
24,2.14E+10
25,2.80E+10
26,3.70E+10
27,4.71E+10
28,5.67E+10
29,6.12E+10
30,6.12E+10
31,6.13E+10
32,6.14E+10
33,6.16E+10
34,6.18E+10
35,6.24E+10
36,6.35E+10
37,6.55E+10
38,6.55E+10
39,6.55E+10
40,6.55E+10
41,6.55E+10
42,6.55E+10
43,6.55E+10
44,6.55E+10
45,6.55E+10
46,6.55E+10
47,6.55E+10
48,6.55E+10
49,6.55E+10
50,6.55E+10
51,6.55E+10
52,6.55E+10
53,6.55E+10
54,6.55E+10
55,6.55E+10
56,6.55E+10
57,6.55E+10
58,6.55E+10
59,6.55E+10
60,6.55E+10
61,6.55E+10
62,6.55E+10
63,6.55E+10
64,6.55E+10
65,6.55E+10
66,6.55E+10
67,6.55E+10
68,6.55E+10
69,6.55E+10
70,6.55E+10
71,6.55E+10
72,6.55E+10
73,6.55E+10
74,6.55E+10
75,6.55E+10
76,6.55E+10
77,6.55E+10
78,6.55E+10
79,6.55E+10
80,6.55E+10
81,6.55E+10
