Year,Objective
0,0
1,0
2,0
3,0
4,0
5,0
6,0
7,0
8,0
9,0
10,0
11,0
12,0
13,0
14,0
15,0
16,0
17,0
18,0
19,0
20,2.26E+09
21,4.90E+09
22,7.55E+09
23,1.19E+10
24,1.52E+10
25,1.93E+10
26,2.42E+10
27,2.97E+10
28,3.13E+10
29,3.13E+10
30,3.13E+10
31,3.13E+10
32,3.14E+10
33,3.16E+10
34,3.16E+10
35,3.20E+10
36,3.27E+10
37,3.40E+10
38,3.40E+10
39,3.40E+10
40,3.40E+10
41,3.40E+10
42,3.40E+10
43,3.40E+10
44,3.40E+10
45,3.40E+10
46,3.40E+10
47,3.40E+10
48,3.40E+10
49,3.40E+10
50,3.40E+10
51,3.40E+10
52,3.40E+10
53,3.40E+10
54,3.40E+10
55,3.40E+10
56,3.40E+10
57,3.40E+10
58,3.40E+10
59,3.40E+10
60,3.40E+10
61,3.40E+10
62,3.40E+10
63,3.40E+10
64,3.40E+10
65,3.40E+10
66,3.40E+10
67,3.40E+10
68,3.40E+10
69,3.40E+10
70,3.40E+10
71,3.40E+10
72,3.40E+10
73,3.40E+10
74,3.40E+10
75,3.40E+10
76,3.40E+10
77,3.40E+10
78,3.40E+10
79,3.40E+10
80,3.40E+10
81,3.40E+10
