"TableName","State","Total","SumOfBatchID"
"utOby","09","963335","4544878547510"
"utPool","09","91595","432050758922"
"utSaleData","09","1252815","5910954504788"
"utTypeConstruction","09","383411","1808919896309"
"utValue","09","1337453","6310150100975"
"utVestingCodes","09","107879","509056884285"
"utBKManagedSpecific","10","480464","2129239586693"
"utBuilding","10","480464","2129239586693"
"utBuildingAreas","10","747061","3381842528725"
"utCareOfName","10","18342","79764916535"
"utExteriorWall","10","301849","1359339536544"
"utExtraFeature","10","39675","172400730727"
"utGarage","10","324562","1452718373695"
"utInteriorFlooring","10","187806","857181523576"
"utInteriorWall","10","169773","779865344272"
"utLotSiteAppeal","10","85122","379559205387"
"utMailAddress","10","480464","2129239586693"
"utMain","10","480464","2129239586693"
"utName","10","578808","2560323180109"
"utOby","10","48663","214066374559"
"utPool","10","5244","23670485406"
"utSaleData","10","698383","3112621923622"
"utTaxDistrict","10","916347","4057263573540"
"utTaxExemption","10","35335","153073534150"
"utTypeConstruction","10","26048","117485664918"
"utValue","10","480464","2129239586693"
"utVestingCodes","10","28","121083727"
"utBuilding","11","225978","226090574782326"
"utBuildingAreas","11","270946","271080976355982"
"utCareOfName","11","462","462230153154"
"utExteriorWall","11","106897","106950252557799"
"utInteriorFlooring","11","106795","106848201744765"
"utMailAddress","11","225978","226090574782326"
"utMain","11","225978","226090574782326"
"utName","11","238313","238431719672271"
"utSaleData","11","194583","194679934829361"
"utTaxExemption","11","1565","1565779631355"
"utValue","11","225978","226090574782326"
"utVestingCodes","11","19","19009465173"
"utBKManagedSpecific","12","10304018","808455011140589"
"utBuilding","12","10304018","808455011140589"
"utBuildingAreas","12","30837391","1693566903286975"
"utCareOfName","12","349153","44240453568644"
"utExteriorWall","12","5679769","410726789968179"
"utExtraFeature","12","4950605","524760012095464"
"utGarage","12","8944077","462102259991616"
"utInteriorFlooring","12","6803221","469245465855595"
"utInteriorWall","12","4798103","383341095150307"
"utLotSiteAppeal","12","716038","12378404222243"
"utMailAddress","12","10303969","808445858860631"
"utMain","12","10304018","808455011140589"
"utName","12","12428719","945724837712866"
"utOby","12","3669059","302168032972050"
"utPool","12","1741626","86632841658447"
"utSaleData","12","16345062","1202902028684325"
"utTaxDistrict","12","3720093","30777453886833"
"utTaxExemption","12","5593681","438054561007255"
"utTypeConstruction","12","3050373","193069536256874"
"utValue","12","10304018","808455011140589"
"utVestingCodes","12","194168","9945033827309"
"utBKManagedSpecific","13","4302358","18878221816859"
"utBuilding","13","4671203","387906274481743"
"utBuildingAreas","13","7232110","465958181296754"
"utCareOfName","13","172604","15926472882637"
"utExteriorWall","13","3214380","264924800428770"
"utExtraFeature","13","1174468","154169830070043"
"utGarage","13","2169092","42803237373243"
"utInteriorFlooring","13","2535734","258983335630351"
"utInteriorWall","13","2177134","258483605351979"
"utLotSiteAppeal","13","42441","189707672117"
"utMailAddress","13","4653594","370288532488640"
"utMain","13","4655513","372208483476579"
"utName","13","4974496","406013724710180"
"utOby","13","1394120","113804653689020"
"utPool","13","296334","17065655032519"
"utSaleData","13","6691048","631832500247088"
"utTaxDistrict","13","3444545","1401666801523095"
"utTaxExemption","13","1785464","212377017030648"
"utTypeConstruction","13","1119914","24954222552445"
"utValue","13","4655513","372208483476579"
"utVestingCodes","13","22462","904610256508"
"utBKManagedSpecific","15","547488","2323875938318"
