"TableName","State","Total","SumOfBatchID"
"utBorrowerNameDescriptionCode","10","447610","1942602129868"
"utBuyerMailAddress","10","390791","1680110634456"
"utBuyerName","10","586875","2526554880311"
"utBuyerNameDescriptionCode","10","572547","2464006335968"
"utForeclosureNameAddress","10","27366","25473005422"
"utForeclosureOriginalLoan","10","437","38405273"
"utLegacy","10","10587","45245787118"
"utMain","10","807969","3386187430425"
"utPropertyInfo","10","892195","3759333404218"
"utSellerMailAddress","10","114610","494835359543"
"utSellerName","10","625753","2691799238133"
"utSellerNameDescriptionCode","10","475705","2053379152822"
"utBKManagedSpecific","11","509972","501827976558869"
"utBorrowerName","11","383267","379105520634295"
"utBorrowerNameDescriptionCode","11","192464","190077497534732"
"utBuyerMailAddress","11","258020","252910944980926"
"utBuyerName","11","309932","303906836998337"
"utBuyerNameDescriptionCode","11","135837","132526125641499"
"utForeclosureNameAddress","11","24572","24479658724646"
"utForeclosureOriginalLoan","11","5572","5573773724281"
"utLegacy","11","2241","2207265546689"
"utMain","11","541719","533471263744505"
"utPropertyInfo","11","541877","533629342455049"
"utSellerMailAddress","11","1","1000498168"
"utSellerName","11","306931","300594665760008"
"utSellerNameDescriptionCode","11","97861","94772175979980"
"utBKManagedSpecific","12","35254090","20409773837484426"
"utBorrowerMailAddress","12","42307","26669206071445"
"utBorrowerName","12","23856624","11046680940242995"
"utBorrowerNameDescriptionCode","12","17999257","8924120572779450"
"utBuyerMailAddress","12","24404335","14358733261472017"
"utBuyerName","12","36879230","21933108959954012"
"utBuyerNameDescriptionCode","12","31068057","18302401030454770"
"utForeclosureNameAddress","12","2929782","1381477493590"
"utForeclosureNODNOSDoc","12","22573","77909368008"
"utForeclosureOriginalLoan","12","899136","284912950331"
"utLegacy","12","254863","125070260138932"
"utMain","12","39240380","20970832018822344"
"utPropertyInfo","12","40324150","21629707066605984"
"utRegionSpecific","12","20","20009266253"
"utSellerMailAddress","12","13148520","7518454302281318"
"utSellerName","12","38807346","22856524072977408"
"utSellerNameDescriptionCode","12","28513343","16445311417386089"
"utBKManagedSpecific","13","13929767","1164021879364180"
"utBorrowerMailAddress","13","1136024","82749209720738"
"utBorrowerName","13","9640219","784518078865946"
"utBorrowerNameDescriptionCode","13","5047091","415554584777577"
"utBuyerMailAddress","13","7582453","667957802106789"
"utBuyerName","13","9225682","811567865841144"
"utBuyerNameDescriptionCode","13","4671671","422892359347173"
"utForeclosureNameAddress","13","759032","85227575446188"
"utForeclosureOriginalLoan","13","621373","67782281268254"
"utLegacy","13","6469","268091718347"
"utMain","13","14809583","1266294196716807"
"utPropertyInfo","13","15154309","1299066457387978"
"utSellerMailAddress","13","432165","82348099750549"
"utSellerName","13","7815581","707238485317491"
"utSellerNameDescriptionCode","13","3266246","314704099442491"
"utBKManagedSpecific","15","1756893","7477551239002"
"utBorrowerMailAddress","15","173411","759770149848"
"utBorrowerName","15","985650","4046394315083"
"utBorrowerNameDescriptionCode","15","916120","3934897953839"
"utBuyerMailAddress","15","1217152","5160036077265"
"utBuyerName","15","2322304","9860332317667"
