Subsidy_percentage,OBJECTIVE
0,1.26E+07
1.00E-04,1.26E+07
2.00E-04,1.26E+07
3.00E-04,1.26E+07
4.00E-04,1.26E+07
5.00E-04,1.26E+07
6.00E-04,1.26E+07
7.00E-04,1.26E+07
8.00E-04,1.26E+07
9.00E-04,1.26E+07
0.001,1.26E+07
0.0011,1.26E+07
0.0012,1.26E+07
0.0013,1.25E+07
0.0014,1.25E+07
0.0015,1.25E+07
0.0016,1.25E+07
0.0017,1.26E+07
0.0018,1.26E+07
0.0019,1.26E+07
0.002,1.26E+07
0.0021,1.26E+07
0.0022,1.26E+07
0.0023,1.26E+07
0.0024,1.25E+07
0.0025,1.25E+07
0.0026,1.25E+07
0.0027,1.25E+07
0.0028,1.25E+07
0.0029,1.25E+07
0.003,1.25E+07
0.0031,1.25E+07
0.0032,1.25E+07
0.0033,1.26E+07
0.0034,1.25E+07
0.0035,1.25E+07
0.0036,1.25E+07
0.0037,1.25E+07
0.0038,1.25E+07
0.0039,1.25E+07
0.004,1.25E+07
0.0041,1.25E+07
0.0042,1.25E+07
0.0043,1.25E+07
0.0044,1.25E+07
0.0045,1.25E+07
0.0046,1.25E+07
0.0047,1.25E+07
0.0048,1.25E+07
0.0049,1.26E+07
0.005,1.26E+07
0.0051,1.26E+07
0.0052,1.26E+07
0.0053,1.26E+07
0.0054,1.26E+07
0.0055,1.26E+07
0.0056,1.26E+07
0.0057,1.26E+07
0.0058,1.26E+07
0.0059,1.26E+07
0.006,1.26E+07
0.0061,1.26E+07
0.0062,1.26E+07
0.0063,1.26E+07
0.0064,1.26E+07
0.0065,1.26E+07
0.0066,1.26E+07
0.0067,1.26E+07
0.0068,1.26E+07
0.0069,1.25E+07
0.007,1.25E+07
0.0071,1.25E+07
0.0072,1.25E+07
0.0073,1.25E+07
0.0074,1.25E+07
0.0075,1.25E+07
0.0076,1.25E+07
0.0077,1.25E+07
0.0078,1.25E+07
0.0079,1.25E+07
0.008,1.25E+07
0.0081,1.25E+07
0.0082,1.25E+07
0.0083,1.25E+07
0.0084,1.25E+07
0.0085,1.25E+07
0.0086,1.25E+07
0.0087,1.25E+07
0.0088,1.25E+07
0.0089,1.25E+07
