Year,Objective
0,0
1,0
2,0
3,0
4,0
5,0
6,991045.4368
7,1.86E+07
8,6.98E+07
9,9.89E+07
10,1.33E+08
11,1.61E+08
12,2.02E+08
13,2.42E+08
14,2.59E+08
15,2.84E+08
16,2.89E+08
17,2.92E+08
18,2.94E+08
19,3.00E+08
20,3.08E+08
21,3.11E+08
22,3.14E+08
23,3.17E+08
24,3.28E+08
25,3.33E+08
26,3.38E+08
27,3.52E+08
28,3.65E+08
29,3.72E+08
30,3.94E+08
31,4.01E+08
32,4.09E+08
33,4.30E+08
34,4.31E+08
35,4.34E+08
36,4.38E+08
37,4.38E+08
38,4.38E+08
39,4.39E+08
40,4.39E+08
41,4.39E+08
42,4.39E+08
43,4.39E+08
44,4.39E+08
45,4.39E+08
46,4.39E+08
47,4.39E+08
48,4.39E+08
49,4.39E+08
50,4.39E+08
51,4.40E+08
52,4.40E+08
53,4.40E+08
54,4.41E+08
55,4.57E+08
56,4.59E+08
57,4.59E+08
58,4.63E+08
59,4.63E+08
60,4.63E+08
61,4.63E+08
62,4.63E+08
63,4.63E+08
64,4.63E+08
65,4.63E+08
66,4.63E+08
67,4.63E+08
68,4.63E+08
69,4.63E+08
70,4.63E+08
71,4.64E+08
72,4.64E+08
73,4.64E+08
74,4.64E+08
75,4.64E+08
76,4.64E+08
77,4.64E+08
78,4.64E+08
79,4.64E+08
80,4.64E+08
81,4.64E+08
