Year,Objective
0,0
1,0
2,0
3,0
4,0
5,0
6,0
7,1.84E+08
8,1.01E+09
9,2.32E+09
10,4.16E+09
11,5.26E+09
12,5.26E+09
13,5.31E+09
14,5.39E+09
15,5.77E+09
16,5.77E+09
17,5.77E+09
18,5.77E+09
19,5.77E+09
20,5.77E+09
21,5.77E+09
22,5.77E+09
23,5.77E+09
24,5.77E+09
25,5.77E+09
26,5.77E+09
27,5.77E+09
28,5.77E+09
29,5.77E+09
30,5.77E+09
31,5.77E+09
32,5.77E+09
33,5.77E+09
34,5.77E+09
35,5.77E+09
36,5.77E+09
37,5.77E+09
38,5.77E+09
39,5.77E+09
40,5.77E+09
41,5.77E+09
42,5.77E+09
43,5.77E+09
44,5.77E+09
45,5.77E+09
46,5.77E+09
47,5.77E+09
48,5.77E+09
49,5.77E+09
50,5.77E+09
51,5.77E+09
52,5.77E+09
53,5.77E+09
54,5.77E+09
55,5.77E+09
56,5.77E+09
57,5.77E+09
58,5.77E+09
59,5.77E+09
60,5.77E+09
61,5.77E+09
62,5.77E+09
63,5.77E+09
64,5.77E+09
65,5.77E+09
66,5.77E+09
67,5.77E+09
68,5.77E+09
69,5.77E+09
70,5.77E+09
71,5.77E+09
72,5.77E+09
73,5.77E+09
74,5.77E+09
75,5.77E+09
76,5.77E+09
77,5.77E+09
78,5.77E+09
79,5.77E+09
80,5.77E+09
81,5.77E+09
