Year,Objective
0,0
1,0
2,0
3,0
4,0
5,0
6,0
7,1.84E+08
8,1.06E+09
9,2.49E+09
10,4.69E+09
11,6.49E+09
12,6.50E+09
13,6.55E+09
14,6.65E+09
15,7.08E+09
16,7.08E+09
17,7.08E+09
18,7.08E+09
19,7.08E+09
20,7.08E+09
21,7.08E+09
22,7.08E+09
23,7.08E+09
24,7.08E+09
25,7.08E+09
26,7.08E+09
27,7.08E+09
28,7.08E+09
29,7.08E+09
30,7.08E+09
31,7.08E+09
32,7.08E+09
33,7.08E+09
34,7.08E+09
35,7.08E+09
36,7.08E+09
37,7.08E+09
38,7.08E+09
39,7.08E+09
40,7.08E+09
41,7.08E+09
42,7.08E+09
43,7.08E+09
44,7.08E+09
45,7.08E+09
46,7.08E+09
47,7.08E+09
48,7.08E+09
49,7.08E+09
50,7.08E+09
51,7.08E+09
52,7.08E+09
53,7.08E+09
54,7.08E+09
55,7.08E+09
56,7.08E+09
57,7.08E+09
58,7.08E+09
59,7.08E+09
60,7.08E+09
61,7.08E+09
62,7.08E+09
63,7.08E+09
64,7.08E+09
65,7.08E+09
66,7.08E+09
67,7.08E+09
68,7.08E+09
69,7.08E+09
70,7.08E+09
71,7.08E+09
72,7.08E+09
73,7.08E+09
74,7.08E+09
75,7.08E+09
76,7.08E+09
77,7.08E+09
78,7.08E+09
79,7.08E+09
80,7.08E+09
81,7.08E+09
