Subsidy,OBJECTIVE
31900,1.59E+07
32000,1.59E+07
32100,1.59E+07
32200,1.59E+07
32300,1.60E+07
32400,1.60E+07
32500,1.60E+07
32600,1.60E+07
32700,1.60E+07
32800,1.60E+07
32900,1.60E+07
33000,1.60E+07
33100,1.60E+07
33200,1.60E+07
33300,1.61E+07
33400,1.61E+07
33500,1.61E+07
33600,1.61E+07
33700,1.61E+07
33800,1.62E+07
33900,1.62E+07
34000,1.62E+07
34100,1.62E+07
34200,1.62E+07
34300,1.63E+07
34400,1.63E+07
34500,1.63E+07
34600,1.63E+07
34700,1.63E+07
34800,1.64E+07
34900,1.64E+07
35000,1.64E+07
35100,1.64E+07
35200,1.64E+07
35300,1.64E+07
35400,1.64E+07
35500,1.65E+07
35600,1.65E+07
35700,1.65E+07
35800,1.65E+07
35900,1.65E+07
36100,1.66E+07
36000,1.65E+07
36200,1.66E+07
36300,1.66E+07
36500,1.66E+07
36400,1.66E+07
36600,1.67E+07
36700,1.67E+07
36800,1.67E+07
36900,1.67E+07
37000,1.67E+07
37100,1.68E+07
37200,1.68E+07
37300,1.68E+07
37400,1.68E+07
37500,1.68E+07
37600,1.69E+07
37700,1.69E+07
37800,1.69E+07
37900,1.69E+07
38000,1.69E+07
38100,1.69E+07
38200,1.69E+07
38300,1.70E+07
38400,1.70E+07
38500,1.70E+07
38700,1.70E+07
38600,1.70E+07
38900,1.70E+07
38800,1.70E+07
39000,1.70E+07
39100,1.70E+07
39200,1.71E+07
39300,1.71E+07
39400,1.71E+07
39500,1.71E+07
39600,1.71E+07
39700,1.71E+07
39800,1.71E+07
39900,1.72E+07
40000,1.73E+07
40100,1.73E+07
40200,1.73E+07
40300,1.73E+07
40500,1.73E+07
40400,1.73E+07
40600,1.74E+07
40700,1.74E+07
40800,1.74E+07
40900,1.74E+07
41000,1.75E+07
41100,1.75E+07
41300,1.75E+07
41200,1.75E+07
41400,1.75E+07
41500,1.75E+07
41600,1.75E+07
41700,1.76E+07
41800,1.76E+07
41900,1.76E+07
42000,1.76E+07
42100,1.76E+07
42200,1.77E+07
42300,1.77E+07
42400,1.77E+07
42500,1.77E+07
42600,1.77E+07
42700,1.77E+07
42800,1.78E+07
42900,1.78E+07
43000,1.78E+07
43100,1.79E+07
43200,1.79E+07
43300,1.79E+07
43400,1.79E+07
43500,1.79E+07
43600,1.79E+07
43700,1.79E+07
43800,1.80E+07
43900,1.80E+07
44000,1.81E+07
44100,1.81E+07
44200,1.81E+07
44300,1.82E+07
44400,1.83E+07
44500,1.83E+07
44600,1.83E+07
44700,1.83E+07
44800,1.84E+07
44900,1.84E+07
45000,1.84E+07
45100,1.84E+07
45200,1.84E+07
45300,1.84E+07
45400,1.85E+07
45500,1.85E+07
45600,1.85E+07
45700,1.85E+07
45800,1.85E+07
45900,1.85E+07
46000,1.86E+07
46100,1.86E+07
46200,1.86E+07
46300,1.86E+07
46400,1.86E+07
46500,1.86E+07
46600,1.87E+07
46700,1.87E+07
46800,1.87E+07
46900,1.87E+07
47000,1.88E+07
47100,1.88E+07
47200,1.88E+07
47300,1.88E+07
47400,1.89E+07
47500,1.89E+07
47600,1.89E+07
47700,1.89E+07
47800,1.89E+07
47900,1.90E+07
48000,1.90E+07
48100,1.90E+07
48200,1.91E+07
48300,1.91E+07
48400,1.91E+07
48500,1.91E+07
48600,1.91E+07
48700,1.92E+07
48800,1.92E+07
48900,1.92E+07
49000,1.92E+07
49100,1.93E+07
49200,1.93E+07
49300,1.93E+07
49400,1.93E+07
49500,1.93E+07
49600,1.93E+07
49700,1.94E+07
49800,1.94E+07
49900,1.94E+07
50000,1.94E+07
