who,color,heading,xcor,ycor,shape,label,label-color,breed,hidden?,size,pen-size,pen-mode,total_market_value,structure_value,sq.ft.,damage_pct_10y,damage_pct_100y,cost_to_personal_property_10y,cost_to_personal_property_100y,latitude,longitude,elevation,stories,basement,inundation_10y,inundation_100y,future_loss,future_benefit,mot_year,ori_year,ori_moved?,nearhouse,move,normal_inf?,poor_inf?,s_prime,moved?,cnear,nbpast_move
5195,25,256,-221.5923299,729.0984903,"""triangle""","""""",9.9,{breed normals},FALSE,5,1,"""up""",597000,475000,3000,0.314,0.449,50000,50000,40.633508,-73.90119,2.8,2,"""""",46,75,2.57E+07,0,200,200,FALSE,0,0,FALSE,FALSE,1E+12,FALSE,0,0
5196,25,28,-552.8388657,687.2152493,"""triangle""","""""",9.9,{breed normals},FALSE,5,1,"""up""",526000,413000,1800,0,0,0,0,40.629966,-73.929203,6.1,2,"""""",0,0,2.37E+07,0,200,200,FALSE,0,0,FALSE,FALSE,1E+12,FALSE,0,0
5197,35,136,-279.2497785,556.2207423,"""triangle""","""""",9.9,{breed normals},FALSE,5,1,"""up""",791000,584000,3200,0.362,0.488,50000,50000,40.618888,-73.906066,2.5,2,"""""",58,86,3.13E+07,0,200,200,FALSE,0,0,FALSE,FALSE,1E+12,FALSE,0,0
5198,25,7,-534.0020495,734.549697,"""triangle""","""""",9.9,{breed normals},FALSE,5,1,"""up""",464000,304000,2600,0,0,0,0,40.633969,-73.92761,5.1,1.5,"""""",0,0,2.19E+07,0,200,200,FALSE,0,0,FALSE,FALSE,1E+12,FALSE,0,0
5199,35,342,-19.29462039,786.3420729,"""triangle""","""""",9.9,{breed normals},FALSE,5,1,"""up""",622000,453000,4000,0.362,0.488,50000,50000,40.638349,-73.884082,2.5,2,"""""",58,86,2.64E+07,0,200,200,FALSE,0,0,FALSE,FALSE,1E+12,FALSE,0,0
5200,15,13,-634.334997,139.3985387,"""circle""","""""",9.9,{breed poors},FALSE,5,1,"""up""",260000,190000,847,0.754,0.754,50000,50000,40.583638,-73.936095,0.5,1,"""""",136,165,8278194.837,0,200,200,FALSE,0,0,FALSE,FALSE,1E+12,FALSE,0,0
5201,15,330,-223.2714434,789.6057021,"""triangle""","""""",9.9,{breed normals},FALSE,5,1,"""up""",393000,148000,4737,0,0.209,0,43001,40.638625,-73.901332,4.3,2,"""""",0,15,1.99E+07,0,200,200,FALSE,0,0,FALSE,FALSE,1E+12,FALSE,0,0
5202,25,63,-363.8321678,709.5521895,"""triangle""","""""",9.9,{breed normals},FALSE,5,1,"""up""",419000,259000,2800,0,0,0,0,40.631855,-73.913219,5.8,2,"""""",0,0,2.06E+07,0,200,200,FALSE,0,0,FALSE,FALSE,1E+12,FALSE,0,0
5203,25,167,-92.2414622,810.712869,"""triangle""","""""",9.9,{breed normals},FALSE,5,1,"""up""",409000,265000,2600,0.362,0.449,50000,50000,40.64041,-73.890251,2.6,2,"""""",54,82,2.03E+07,0,200,200,FALSE,0,0,FALSE,FALSE,1E+12,FALSE,0,0
5204,105,270,-782.5226808,79.94372911,"""triangle""","""""",9.9,{breed normals},FALSE,5,1,"""up""",2029000,1440000,6400,0.587,0.587,50000,50000,40.57861,-73.948627,0.7,2,"""""",128,157,6.68E+07,0,200,200,FALSE,0,0,FALSE,FALSE,1E+12,FALSE,0,0
5205,15,52,-101.2164424,760.6942046,"""circle""","""""",9.9,{breed poors},FALSE,5,1,"""up""",329000,201000,1900,0.263,0.407,46633,50000,40.63618,-73.89101,3.1,1.75,"""""",34,63,9298186.701,0,200,200,FALSE,0,0,FALSE,FALSE,1E+12,FALSE,0,0
5206,45,226,-734.6088207,513.2496249,"""triangle""","""""",9.9,{breed normals},FALSE,5,1,"""up""",824000,611000,2700,0,0,0,0,40.615254,-73.944575,6.4,2,"""""",0,0,3.22E+07,0,200,200,FALSE,0,0,FALSE,FALSE,1E+12,FALSE,0,0
5207,35,200,-629.7588213,440.1135872,"""triangle""","""""",9.9,{breed normals},FALSE,5,1,"""up""",609000,463000,2200,0,0.321,0,43001,40.609069,-73.935708,4.1,1,"""""",0,23,2.61E+07,0,200,200,FALSE,0,0,FALSE,FALSE,1E+12,FALSE,0,0
5208,15,356,-173.9504389,796.2748574,"""circle""","""""",9.9,{breed poors},FALSE,5,1,"""up""",381000,163000,3500,0,0.233,0,20624,40.639189,-73.897161,4.5,1,"""""",0,8,1.01E+07,0,200,200,FALSE,0,0,FALSE,FALSE,1E+12,FALSE,0,0
5209,25,9,-905.9020531,100.2941124,"""triangle""","""""",9.9,{breed normals},FALSE,5,1,"""up""",419000,199000,2550,0.362,0.449,50000,50000,40.580331,-73.959061,2.7,1.5,"""""",50,78,2.06E+07,0,200,200,FALSE,0,0,FALSE,FALSE,1E+12,FALSE,0,0
5210,25,99,-538.0579365,708.3460657,"""triangle""","""""",9.9,{breed normals},FALSE,5,1,"""up""",534000,388000,2400,0,0,0,0,40.631753,-73.927953,6.1,2,"""""",0,0,2.39E+07,0,200,200,FALSE,0,0,FALSE,FALSE,1E+12,FALSE,0,0
5211,35,229,-680.7234652,472.7617037,"""triangle""","""""",9.9,{breed normals},FALSE,5,1,"""up""",664000,499000,2000,0,0,0,0,40.61183,-73.940018,4.9,2,"""""",0,0,2.76E+07,0,200,200,FALSE,0,0,FALSE,FALSE,1E+12,FALSE,0,0
