who,color,heading,xcor,ycor,shape,label,label-color,breed,hidden?,size,pen-size,pen-mode,total_market_value,structure_value,sq.ft.,damage_pct_10y,damage_pct_100y,cost_to_personal_property_10y,cost_to_personal_property_100y,latitude,longitude,elevation,stories,basement,inundation_10y,inundation_100y,future_loss,future_benefit,mot_year,ori_year,ori_moved?,nearhouse,move,normal_inf?,poor_inf?,s_prime,moved?,cnear,nbpast_move
324,29,189,-149.615117,705.5790758,"""triangle""","""""",9.9,{breed normals},FALSE,5,1,"""up""",404000,284000,2000,0.362,0.449,50000,50000,40.631519,-73.895103,2.7,2,"""""",50,78,2.41E+08,0,1,1,TRUE,{turtles 5114 1231 696 3046 5537 4484 2688 5716 2864 3704},0,FALSE,FALSE,-920216.8304,TRUE,0,2
325,39,227,-581.9040849,410.6226773,"""triangle""","""""",9.9,{breed normals},FALSE,5,1,"""up""",614000,495000,1667,0.209,0.362,43001,50000,40.606575,-73.931661,3.4,2,"""""",22,51,3.12E+08,0,1,1,TRUE,{turtles 2205 5146 3426 4641 4063 1683 2381 1798 5287 5731},0,FALSE,FALSE,-747270.1463,TRUE,0,2
326,29,143,-509.1819132,757.9508641,"""triangle""","""""",9.9,{breed normals},FALSE,5,1,"""up""",440000,259000,2133,0.1835,0,0,7207,40.635948,-73.925511,4.6,1,"""""",0,4,2.53E+08,0,1,1,TRUE,{turtles 2359 4376 5188 2034 4619 2650 3554 944 2447 24},0,FALSE,FALSE,-890568.8275,TRUE,0,2
327,39,65,-680.593393,459.612589,"""triangle""","""""",9.9,{breed normals},FALSE,5,1,"""up""",794000,579000,3100,0,0.152,0,32317,40.610718,-73.940007,4.4,2,"""""",0,12,3.74E+08,0,1,1,TRUE,{turtles 4909 1171 690 2757 5837 4304 982 72 2746 3524},0,FALSE,FALSE,-599030.1314,TRUE,0,2
328,29,7,-332.2009793,443.5309381,"""triangle""","""""",9.9,{breed normals},FALSE,5,1,"""up""",591000,424000,1800,0.449,0.524,50000,50000,40.609358,-73.910544,2.1,2,"""""",73,102,3.05E+08,0,1,1,TRUE,{turtles 1722 3463 5778 172 1322 4878 2288 4247 4907 1166},0,FALSE,FALSE,-766211.926,TRUE,0,2
329,39,243,-405.7745325,591.2574569,"""triangle""","""""",9.9,{breed normals},FALSE,5,1,"""up""",640000,468000,2648,0.314,0.407,50000,50000,40.621851,-73.916766,2.9,2,"""""",42,71,3.21E+08,0,1,1,TRUE,{turtles 778 530 2486 3086 4411 4413 5353 1348 3506 830},0,FALSE,FALSE,-725857.6997,TRUE,0,2
330,59,70,-328.9373501,502.3472116,"""triangle""","""""",9.9,{breed normals},FALSE,5,1,"""up""",1166000,772000,5000,0.362,0.449,50000,50000,40.614332,-73.910268,2.6,2,"""""",54,82,5.01E+08,0,1,1,TRUE,{turtles 2944 5349 1978 4498 422 166 2074 5597 1170 1272},0,FALSE,FALSE,-292667.4339,TRUE,0,2
331,29,65,-516.9271201,678.1101969,"""triangle""","""""",9.9,{breed normals},FALSE,5,1,"""up""",593000,340000,4700,0,0,0,0,40.629196,-73.926166,5.2,1,"""""",0,0,3.05E+08,0,1,1,TRUE,{turtles 354 4302 119 3379 5861 302 4483 5067 4495 4931},0,FALSE,FALSE,-764564.8148,TRUE,0,2
332,79,84,-794.8440634,52.26200489,"""triangle""","""""",9.9,{breed normals},FALSE,5,1,"""up""",1423000,890000,4000,0.557,0.587,50000,50000,40.576269,-73.949669,1.1,2,"""""",113,141,5.89E+08,0,1,1,TRUE,{turtles 503 685 201 3352 5776 1937 3499 4437 5524 5421},0,FALSE,FALSE,-81013.63474,TRUE,0,2
333,49,130,-501.5313043,443.3180927,"""triangle""","""""",9.9,{breed normals},FALSE,5,1,"""up""",950000,622000,5000,0.314,0.407,50000,50000,40.60934,-73.924864,2.9,2,"""""",42,71,4.27E+08,0,1,1,TRUE,{turtles 20 1507 4558 2826 1514 2750 1530 3307 3122 1731},0,FALSE,FALSE,-470555.4518,TRUE,0,2
