Subsidy,OBJECTIVE
2000,1.61E+07
3000,1.63E+07
0,1.56E+07
1000,1.59E+07
5000,1.62E+07
4000,1.62E+07
7000,1.65E+07
6000,1.64E+07
8000,1.65E+07
11000,1.69E+07
10000,1.67E+07
9000,1.65E+07
12000,1.71E+07
13000,1.74E+07
15000,1.73E+07
14000,1.72E+07
16000,1.75E+07
17000,1.76E+07
19000,1.78E+07
18000,1.76E+07
20000,1.78E+07
21000,1.80E+07
22000,1.82E+07
23000,1.83E+07
24000,1.85E+07
25000,1.86E+07
26000,1.88E+07
27000,1.90E+07
28000,1.92E+07
29000,1.93E+07
30000,1.94E+07
31000,1.96E+07
32000,1.98E+07
33000,2.00E+07
34000,2.02E+07
35000,2.04E+07
36000,2.06E+07
37000,2.08E+07
38000,2.10E+07
39000,2.12E+07
40000,2.14E+07
41000,2.16E+07
42000,2.18E+07
43000,2.19E+07
44000,2.21E+07
46000,2.26E+07
45000,2.24E+07
47000,2.28E+07
48000,2.29E+07
49000,2.29E+07
50000,2.30E+07
51000,2.33E+07
52000,2.35E+07
53000,2.38E+07
54000,2.39E+07
55000,2.41E+07
56000,2.43E+07
57000,2.45E+07
58000,2.47E+07
59000,2.49E+07
60000,2.51E+07
61000,2.54E+07
62000,2.56E+07
63000,2.59E+07
64000,2.61E+07
65000,2.63E+07
66000,2.66E+07
67000,2.67E+07
68000,2.70E+07
69000,2.72E+07
70000,2.74E+07
71000,2.75E+07
72000,2.78E+07
73000,2.80E+07
74000,2.81E+07
75000,2.83E+07
76000,2.85E+07
77000,2.87E+07
78000,2.89E+07
79000,2.89E+07
80000,2.92E+07
81000,2.94E+07
82000,2.95E+07
83000,2.97E+07
84000,2.99E+07
85000,3.01E+07
86000,3.03E+07
87000,3.06E+07
88000,3.08E+07
89000,3.10E+07
90000,3.12E+07
91000,3.13E+07
92000,3.15E+07
93000,3.17E+07
94000,3.18E+07
95000,3.21E+07
96000,3.22E+07
97000,3.24E+07
98000,3.26E+07
99000,3.29E+07
100000,3.30E+07
101000,3.32E+07
102000,3.34E+07
103000,3.37E+07
105000,3.41E+07
104000,3.39E+07
106000,3.43E+07
107000,3.45E+07
109000,3.48E+07
108000,3.45E+07
110000,3.50E+07
111000,3.52E+07
112000,3.54E+07
113000,3.57E+07
114000,3.59E+07
115000,3.62E+07
117000,3.66E+07
116000,3.64E+07
118000,3.69E+07
119000,3.71E+07
121000,3.74E+07
120000,3.72E+07
122000,3.76E+07
123000,3.79E+07
124000,3.81E+07
125000,3.84E+07
126000,3.86E+07
127000,3.89E+07
128000,3.91E+07
129000,3.93E+07
130000,3.96E+07
131000,3.98E+07
132000,4.01E+07
133000,4.03E+07
134000,4.05E+07
135000,4.08E+07
136000,4.10E+07
137000,4.12E+07
138000,4.15E+07
139000,4.17E+07
140000,4.18E+07
141000,4.21E+07
142000,4.23E+07
143000,4.24E+07
144000,4.27E+07
145000,4.29E+07
146000,4.31E+07
147000,4.32E+07
148000,4.34E+07
149000,4.37E+07
150000,4.38E+07
151000,4.41E+07
152000,4.43E+07
153000,4.44E+07
154000,4.47E+07
155000,4.48E+07
156000,4.51E+07
157000,4.52E+07
158000,4.54E+07
159000,4.56E+07
160000,4.58E+07
161000,4.60E+07
162000,4.62E+07
163000,4.64E+07
164000,4.66E+07
165000,4.67E+07
