Year,OBJECTIVE
0,0
1,10800000
2,3.44E+07
3,4.26E+07
4,4.48E+07
5,4.87E+07
6,5.29E+07
7,5.40E+07
8,5.43E+07
9,5.43E+07
10,5.43E+07
11,5.43E+07
12,5.43E+07
13,5.43E+07
14,5.43E+07
15,5.43E+07
16,5.43E+07
17,5.43E+07
18,5.43E+07
19,5.43E+07
20,5.43E+07
21,5.43E+07
22,5.43E+07
23,5.43E+07
24,5.43E+07
25,5.43E+07
26,5.43E+07
27,5.43E+07
28,5.43E+07
29,5.43E+07
30,5.43E+07
31,5.43E+07
32,5.43E+07
33,5.43E+07
34,5.43E+07
35,5.43E+07
36,5.43E+07
37,5.43E+07
38,5.43E+07
39,5.43E+07
40,5.43E+07
41,5.43E+07
42,5.43E+07
43,5.43E+07
44,5.43E+07
45,5.43E+07
46,5.43E+07
47,5.43E+07
48,5.43E+07
49,5.43E+07
50,5.43E+07
51,5.43E+07
52,5.43E+07
53,5.43E+07
54,5.43E+07
55,5.43E+07
56,5.43E+07
57,5.43E+07
58,5.43E+07
59,5.43E+07
60,5.43E+07
61,5.43E+07
62,5.43E+07
63,5.43E+07
64,5.43E+07
65,5.43E+07
66,5.43E+07
67,5.43E+07
68,5.43E+07
69,5.43E+07
70,5.43E+07
71,5.43E+07
72,5.43E+07
73,5.43E+07
74,5.43E+07
75,5.43E+07
76,5.43E+07
77,5.43E+07
78,5.43E+07
79,5.43E+07
80,5.43E+07
81,5.43E+07
