Year,OBJECTIVE
0,0
1,18109700
2,4.57E+07
3,5.26E+07
4,5.63E+07
5,5.88E+07
6,6.29E+07
7,6.32E+07
8,6.34E+07
9,6.34E+07
10,6.34E+07
11,6.34E+07
12,6.34E+07
13,6.34E+07
14,6.34E+07
15,6.34E+07
16,6.34E+07
17,6.34E+07
18,6.34E+07
19,6.34E+07
20,6.34E+07
21,6.34E+07
22,6.34E+07
23,6.34E+07
24,6.34E+07
25,6.34E+07
26,6.34E+07
27,6.34E+07
28,6.34E+07
29,6.34E+07
30,6.34E+07
31,6.34E+07
32,6.34E+07
33,6.34E+07
34,6.34E+07
35,6.34E+07
36,6.34E+07
37,6.34E+07
38,6.34E+07
39,6.34E+07
40,6.34E+07
41,6.34E+07
42,6.34E+07
43,6.34E+07
44,6.34E+07
45,6.34E+07
46,6.34E+07
47,6.34E+07
48,6.34E+07
49,6.34E+07
50,6.34E+07
51,6.34E+07
52,6.34E+07
53,6.34E+07
54,6.34E+07
55,6.34E+07
56,6.34E+07
57,6.34E+07
58,6.34E+07
59,6.34E+07
60,6.34E+07
61,6.34E+07
62,6.34E+07
63,6.34E+07
64,6.34E+07
65,6.34E+07
66,6.34E+07
67,6.34E+07
68,6.34E+07
69,6.34E+07
70,6.34E+07
71,6.34E+07
72,6.34E+07
73,6.34E+07
74,6.34E+07
75,6.34E+07
76,6.34E+07
77,6.34E+07
78,6.34E+07
79,6.34E+07
80,6.34E+07
81,6.34E+07
