Subsidy,OBJECTIVE
318000,5.71E+08
319000,5.70E+08
320000,5.69E+08
321000,5.67E+08
322000,5.65E+08
323000,5.64E+08
324000,5.63E+08
326000,5.61E+08
325000,5.62E+08
327000,5.60E+08
328000,5.58E+08
329000,5.57E+08
330000,5.55E+08
331000,5.54E+08
332000,5.52E+08
333000,5.51E+08
334000,5.49E+08
335000,5.48E+08
336000,5.47E+08
337000,5.46E+08
338000,5.44E+08
339000,5.42E+08
340000,5.41E+08
341000,5.40E+08
342000,5.38E+08
343000,5.37E+08
344000,5.36E+08
345000,5.35E+08
346000,5.34E+08
348000,5.31E+08
347000,5.32E+08
349000,5.30E+08
350000,5.28E+08
351000,5.27E+08
352000,5.25E+08
353000,5.24E+08
354000,5.22E+08
355000,5.21E+08
356000,5.20E+08
357000,5.18E+08
358000,5.17E+08
359000,5.15E+08
360000,5.14E+08
361000,5.13E+08
362000,5.12E+08
363000,5.11E+08
364000,5.09E+08
365000,5.08E+08
366000,5.07E+08
367000,5.06E+08
368000,5.05E+08
369000,5.03E+08
370000,5.02E+08
371000,5.01E+08
372000,4.99E+08
373000,4.97E+08
374000,4.96E+08
375000,4.95E+08
376000,4.94E+08
378000,4.92E+08
377000,4.93E+08
379000,4.91E+08
380000,4.89E+08
381000,4.88E+08
382000,4.87E+08
383000,4.86E+08
384000,4.85E+08
385000,4.84E+08
386000,4.82E+08
387000,4.82E+08
388000,4.81E+08
389000,4.80E+08
390000,4.79E+08
391000,4.78E+08
392000,4.77E+08
393000,4.75E+08
394000,4.74E+08
395000,4.73E+08
396000,4.71E+08
397000,4.70E+08
398000,4.69E+08
399000,4.68E+08
400000,4.66E+08
401000,4.65E+08
402000,4.64E+08
403000,4.63E+08
404000,4.62E+08
405000,4.60E+08
406000,4.59E+08
407000,4.58E+08
408000,4.57E+08
409000,4.56E+08
410000,4.55E+08
411000,4.54E+08
412000,4.53E+08
413000,4.52E+08
414000,4.51E+08
415000,4.50E+08
416000,4.49E+08
417000,4.47E+08
418000,4.47E+08
419000,4.46E+08
420000,4.45E+08
421000,4.43E+08
422000,4.42E+08
423000,4.41E+08
424000,4.40E+08
425000,4.39E+08
426000,4.38E+08
427000,4.36E+08
428000,4.35E+08
429000,4.34E+08
430000,4.33E+08
431000,4.31E+08
432000,4.30E+08
433000,4.29E+08
434000,4.28E+08
435000,4.27E+08
436000,4.26E+08
437000,4.25E+08
438000,4.25E+08
439000,4.23E+08
440000,4.23E+08
441000,4.22E+08
442000,4.21E+08
443000,4.20E+08
444000,4.19E+08
445000,4.18E+08
446000,4.17E+08
447000,4.16E+08
448000,4.15E+08
449000,4.14E+08
450000,4.13E+08
451000,4.12E+08
452000,4.12E+08
453000,4.10E+08
454000,4.09E+08
455000,4.09E+08
456000,4.08E+08
457000,4.07E+08
458000,4.06E+08
459000,4.05E+08
460000,4.04E+08
461000,4.03E+08
463000,4.01E+08
462000,4.02E+08
464000,4.00E+08
465000,3.99E+08
466000,3.99E+08
467000,3.98E+08
468000,3.97E+08
469000,3.96E+08
470000,3.95E+08
471000,3.95E+08
472000,3.94E+08
473000,3.93E+08
474000,3.92E+08
475000,3.92E+08
476000,3.91E+08
477000,3.90E+08
478000,3.89E+08
479000,3.88E+08
480000,3.87E+08
481000,3.86E+08
482000,3.85E+08
483000,3.84E+08
484000,3.83E+08
485000,3.82E+08
486000,3.82E+08
487000,3.81E+08
488000,3.80E+08
489000,3.80E+08
490000,3.79E+08
491000,3.78E+08
