Year,OBJECTIVE
0,0
1,496000000
2,496000000
3,496000000
4,496000000
5,496000000
6,496000000
7,496000000
8,496000000
9,496000000
10,496000000
11,496000000
12,496000000
13,496000000
14,496000000
15,496000000
16,496000000
17,496000000
18,496000000
19,496000000
20,496000000
21,496000000
22,496000000
23,496000000
24,496000000
25,496000000
26,496000000
27,496000000
28,496000000
29,496000000
30,496000000
31,496000000
32,496000000
33,496000000
34,496000000
35,496000000
36,496000000
37,496000000
38,496000000
39,496000000
40,496000000
41,496000000
42,496000000
43,496000000
44,496000000
45,496000000
46,496000000
47,496000000
48,496000000
49,496000000
50,496000000
51,496000000
52,496000000
53,496000000
54,496000000
55,496000000
56,496000000
57,496000000
58,496000000
59,496000000
60,496000000
61,496000000
62,496000000
63,496000000
64,496000000
65,496000000
66,496000000
67,496000000
68,496000000
69,496000000
70,496000000
71,496000000
72,496000000
73,496000000
74,496000000
75,496000000
76,496000000
77,496000000
78,496000000
79,496000000
80,496000000
81,496000000
