Year,OBJECTIVE
0,0
1,620000000
2,620000000
3,620000000
4,620000000
5,620000000
6,620000000
7,620000000
8,620000000
9,620000000
10,620000000
11,620000000
12,620000000
13,620000000
14,620000000
15,620000000
16,620000000
17,620000000
18,620000000
19,620000000
20,620000000
21,620000000
22,620000000
23,620000000
24,620000000
25,620000000
26,620000000
27,620000000
28,620000000
29,620000000
30,620000000
31,620000000
32,620000000
33,620000000
34,620000000
35,620000000
36,620000000
37,620000000
38,620000000
39,620000000
40,620000000
41,620000000
42,620000000
43,620000000
44,620000000
45,620000000
46,620000000
47,620000000
48,620000000
49,620000000
50,620000000
51,620000000
52,620000000
53,620000000
54,620000000
55,620000000
56,620000000
57,620000000
58,620000000
59,620000000
60,620000000
61,620000000
62,620000000
63,620000000
64,620000000
65,620000000
66,620000000
67,620000000
68,620000000
69,620000000
70,620000000
71,620000000
72,620000000
73,620000000
74,620000000
75,620000000
76,620000000
77,620000000
78,620000000
79,620000000
80,620000000
81,620000000
