Year,OBJECTIVE
0,0
1,6559500
2,2.69E+07
3,3.62E+07
4,3.84E+07
5,4.19E+07
6,4.45E+07
7,4.72E+07
8,4.75E+07
9,4.77E+07
10,4.77E+07
11,4.77E+07
12,4.77E+07
13,4.77E+07
14,4.77E+07
15,4.77E+07
16,4.77E+07
17,4.77E+07
18,4.77E+07
19,4.77E+07
20,4.77E+07
21,4.77E+07
22,4.77E+07
23,4.77E+07
24,4.77E+07
25,4.77E+07
26,4.77E+07
27,4.77E+07
28,4.77E+07
29,4.77E+07
30,4.77E+07
31,4.77E+07
32,4.77E+07
33,4.77E+07
34,4.77E+07
35,4.77E+07
36,4.77E+07
37,4.77E+07
38,4.77E+07
39,4.77E+07
40,4.77E+07
41,4.77E+07
42,4.77E+07
43,4.77E+07
44,4.77E+07
45,4.77E+07
46,4.77E+07
47,4.77E+07
48,4.77E+07
49,4.77E+07
50,4.77E+07
51,4.77E+07
52,4.77E+07
53,4.77E+07
54,4.77E+07
55,4.77E+07
56,4.77E+07
57,4.77E+07
58,4.77E+07
59,4.77E+07
60,4.77E+07
61,4.77E+07
62,4.77E+07
63,4.77E+07
64,4.77E+07
65,4.77E+07
66,4.77E+07
67,4.77E+07
68,4.77E+07
69,4.77E+07
70,4.77E+07
71,4.77E+07
72,4.77E+07
73,4.77E+07
74,4.77E+07
75,4.77E+07
76,4.77E+07
77,4.77E+07
78,4.77E+07
79,4.77E+07
80,4.77E+07
81,4.77E+07
