Year,Objective
0,0
1,0
2,0
3,2072314.505
4,4540756.28
5,5764826.608
6,5764826.608
7,7179910.662
8,7555002.582
9,9402941.059
10,9664622.138
11,9952585.267
12,9952585.267
13,9952585.267
14,9952585.267
15,9952585.267
16,9952585.267
17,9952585.267
18,9952585.267
19,9952585.267
20,9952585.267
21,9952585.267
22,9952585.267
23,9952585.267
24,9952585.267
25,9952585.267
26,9952585.267
27,9952585.267
28,9952585.267
29,9952585.267
30,9952585.267
31,9952585.267
32,9952585.267
33,9952585.267
34,9952585.267
35,9952585.267
36,9952585.267
37,9952585.267
38,9952585.267
39,9952585.267
40,9952585.267
41,9952585.267
42,9952585.267
43,9952585.267
44,9952585.267
45,9952585.267
46,9952585.267
47,9952585.267
48,9952585.267
49,9952585.267
50,9952585.267
51,9952585.267
52,9952585.267
53,9952585.267
54,9952585.267
55,9952585.267
56,9952585.267
57,9952585.267
58,9952585.267
59,9952585.267
60,9952585.267
61,9952585.267
62,9952585.267
63,9952585.267
64,9952585.267
65,9952585.267
66,9952585.267
67,9952585.267
68,9952585.267
69,9952585.267
70,9952585.267
71,9952585.267
72,9952585.267
73,9952585.267
74,9952585.267
75,9952585.267
76,9952585.267
77,9952585.267
78,9952585.267
79,9952585.267
80,9952585.267
81,9952585.267
