[run number],Subsidy,Moving_Cost_Multiplier,[step],OBJECTIVE,,,,,,
117,170000,2,101,1.71E+09,,,,,,
118,180000,2,101,1.81E+09,,,,,,
119,190000,2,101,1.90E+09,,,,,,
120,200000,2,101,1.99E+09,,,,,,
121,210000,2,101,2.09E+09,,,,,,
122,220000,2,101,2.18E+09,,,,,,
123,230000,2,101,2.28E+09,,,,,,
124,240000,2,101,2.37E+09,,,,,,
125,250000,2,101,2.47E+09,,,,,,
126,260000,2,101,2.56E+09,,,,,,
127,270000,2,101,2.66E+09,,,,,,
128,280000,2,101,2.76E+09,,,,,,
129,290000,2,101,2.86E+09,,,,,,
130,300000,2,101,2.96E+09,,,,,,
131,310000,2,101,3.05E+09,,,,,,
132,320000,2,101,3.15E+09,,,,,,
133,330000,2,101,3.25E+09,,,,,,
134,340000,2,101,3.35E+09,,,,,,
135,350000,2,101,3.45E+09,,,,,,
136,360000,2,101,3.55E+09,,,,,,
137,370000,2,101,3.65E+09,,,,,,
138,380000,2,101,3.75E+09,,,,,,
139,390000,2,101,3.85E+09,,,,,,
140,400000,2,101,3.95E+09,,,,,,
141,410000,2,101,4.06E+09,,,,,,
142,420000,2,101,4.16E+09,,,,,,
143,430000,2,101,4.26E+09,,,,,,
144,440000,2,101,4.36E+09,,,,,,
145,450000,2,101,4.46E+09,,,,,,
146,460000,2,101,4.56E+09,,,,,,
147,470000,2,101,4.66E+09,,,,,,
148,480000,2,101,4.77E+09,,,,,,
149,490000,2,101,4.87E+09,,,,,,
150,500000,2,101,4.97E+09,,,,,,
151,510000,2,101,5.07E+09,,,,,,
152,520000,2,101,5.17E+09,,,,,,
153,530000,2,101,5.28E+09,,,,,,
154,540000,2,101,5.38E+09,,,,,,
155,550000,2,101,5.48E+09,,,,,,
156,560000,2,101,5.58E+09,,,,,,
157,570000,2,101,5.68E+09,,,,,,
158,580000,2,101,5.79E+09,,,,,,
159,590000,2,101,5.89E+09,,,,,,
160,600000,2,101,5.99E+09,,,,,,
161,610000,2,101,6.09E+09,,,,,,
162,620000,2,101,6.19E+09,,,,,,
