Year,Objective
0,0
1,0
2,0
3,1579580.527
4,3477981.694
5,4119903.31
6,4119903.31
7,5386887.5
8,5761979.419
9,7609917.896
10,7871598.975
11,8159562.104
12,8159562.104
13,8159562.104
14,8159562.104
15,8159562.104
16,8159562.104
17,8159562.104
18,8159562.104
19,8159562.104
20,8159562.104
21,8159562.104
22,8159562.104
23,8159562.104
24,8159562.104
25,8159562.104
26,8159562.104
27,8159562.104
28,8159562.104
29,8159562.104
30,8159562.104
31,8159562.104
32,8159562.104
33,8159562.104
34,8159562.104
35,8159562.104
36,8159562.104
37,8159562.104
38,8159562.104
39,8159562.104
40,8159562.104
41,8159562.104
42,8159562.104
43,8159562.104
44,8159562.104
45,8159562.104
46,8159562.104
47,8159562.104
48,8159562.104
49,8159562.104
50,8159562.104
51,8159562.104
52,8159562.104
53,8159562.104
54,8159562.104
55,8159562.104
56,8159562.104
57,8159562.104
58,8159562.104
59,8159562.104
60,8159562.104
61,8159562.104
62,8159562.104
63,8159562.104
64,8159562.104
65,8159562.104
66,8159562.104
67,8159562.104
68,8159562.104
69,8159562.104
70,8159562.104
71,8159562.104
72,8159562.104
73,8159562.104
74,8159562.104
75,8159562.104
76,8159562.104
77,8159562.104
78,8159562.104
79,8159562.104
80,8159562.104
81,8159562.104
