Year,Objective
0,0
1,0
2,0
3,2124351.075
4,4797768.735
5,5987587.94
6,6207990.48
7,7927553.71
8,8837758.892
9,1.11E+07
10,1.16E+07
11,1.19E+07
12,1.19E+07
13,1.19E+07
14,1.19E+07
15,1.19E+07
16,1.19E+07
17,1.19E+07
18,1.19E+07
19,1.19E+07
20,1.19E+07
21,1.19E+07
22,1.19E+07
23,1.19E+07
24,1.19E+07
25,1.19E+07
26,1.19E+07
27,1.19E+07
28,1.19E+07
29,1.19E+07
30,1.19E+07
31,1.19E+07
32,1.19E+07
33,1.19E+07
34,1.19E+07
35,1.19E+07
36,1.19E+07
37,1.19E+07
38,1.19E+07
39,1.19E+07
40,1.19E+07
41,1.19E+07
42,1.19E+07
43,1.19E+07
44,1.19E+07
45,1.19E+07
46,1.19E+07
47,1.19E+07
48,1.19E+07
49,1.19E+07
50,1.19E+07
51,1.19E+07
52,1.19E+07
53,1.19E+07
54,1.19E+07
55,1.19E+07
56,1.19E+07
57,1.19E+07
58,1.19E+07
59,1.19E+07
60,1.19E+07
61,1.19E+07
62,1.19E+07
63,1.19E+07
64,1.19E+07
65,1.19E+07
66,1.19E+07
67,1.19E+07
68,1.19E+07
69,1.19E+07
70,1.19E+07
71,1.19E+07
72,1.19E+07
73,1.19E+07
74,1.19E+07
75,1.19E+07
76,1.19E+07
77,1.19E+07
78,1.19E+07
79,1.19E+07
80,1.19E+07
81,1.19E+07
