Subsidy_percentage,OBJECTIVE
0.0367,1.05E+08
0.0368,1.05E+08
0.0369,1.05E+08
0.037,1.05E+08
0.0371,1.05E+08
0.0372,1.05E+08
0.0373,1.05E+08
0.0374,1.05E+08
0.0375,1.05E+08
0.0376,1.05E+08
0.0377,1.05E+08
0.0378,1.05E+08
0.0379,1.05E+08
0.038,1.05E+08
0.0381,1.05E+08
0.0382,1.05E+08
0.0383,1.05E+08
0.0384,1.05E+08
0.0385,1.05E+08
0.0386,1.05E+08
0.0387,1.05E+08
0.0388,1.05E+08
0.0389,1.05E+08
0.039,1.05E+08
0.0391,1.05E+08
0.0392,1.05E+08
0.0393,1.05E+08
0.0394,1.05E+08
0.0395,1.05E+08
0.0396,1.05E+08
0.0397,1.05E+08
0.0398,1.05E+08
0.0399,1.05E+08
0.04,1.05E+08
