Subsidy_percentage,OBJECTIVE
0,2.38E+07
1.00E-04,2.38E+07
2.00E-04,2.38E+07
3.00E-04,2.38E+07
4.00E-04,2.38E+07
5.00E-04,2.38E+07
6.00E-04,2.37E+07
7.00E-04,2.37E+07
8.00E-04,2.37E+07
9.00E-04,2.37E+07
0.001,2.37E+07
0.0011,2.37E+07
0.0012,2.37E+07
0.0013,2.37E+07
0.0014,2.37E+07
0.0015,2.37E+07
0.0016,2.37E+07
0.0017,2.37E+07
0.0018,2.37E+07
0.0019,2.37E+07
0.002,2.37E+07
0.0021,2.37E+07
0.0022,2.37E+07
0.0023,2.37E+07
0.0024,2.37E+07
0.0025,2.37E+07
0.0026,2.37E+07
0.0027,2.37E+07
0.0028,2.37E+07
0.0029,2.37E+07
0.003,2.37E+07
0.0031,2.37E+07
0.0032,2.37E+07
0.0033,2.37E+07
0.0034,2.36E+07
0.0035,2.36E+07
0.0036,2.36E+07
0.0037,2.36E+07
0.0038,2.36E+07
0.0039,2.37E+07
0.004,2.37E+07
0.0041,2.37E+07
0.0042,2.37E+07
0.0043,2.37E+07
0.0044,2.37E+07
0.0045,2.37E+07
0.0046,2.37E+07
0.0047,2.37E+07
0.0048,2.37E+07
0.0049,2.37E+07
0.005,2.37E+07
0.0051,2.37E+07
0.0052,2.37E+07
0.0053,2.37E+07
0.0054,2.36E+07
0.0055,2.36E+07
0.0056,2.36E+07
0.0057,2.36E+07
0.0058,2.36E+07
0.0059,2.36E+07
0.006,2.36E+07
0.0061,2.36E+07
0.0062,2.36E+07
0.0063,2.37E+07
0.0064,2.37E+07
0.0065,2.37E+07
0.0066,2.37E+07
0.0067,2.37E+07
0.0068,2.36E+07
0.0069,2.36E+07
0.007,2.35E+07
0.0071,2.35E+07
0.0072,2.35E+07
0.0073,2.35E+07
0.0074,2.35E+07
0.0075,2.35E+07
0.0076,2.35E+07
0.0077,2.35E+07
0.0078,2.35E+07
0.0079,2.35E+07
0.008,2.35E+07
0.0081,2.35E+07
0.0082,2.35E+07
0.0083,2.35E+07
0.0084,2.35E+07
0.0085,2.35E+07
0.0086,2.35E+07
0.0087,2.35E+07
0.0088,2.35E+07
0.0089,2.35E+07
0.009,2.35E+07
0.0091,2.35E+07
0.0092,2.35E+07
0.0093,2.35E+07
0.0094,2.35E+07
0.0095,2.35E+07
0.0096,2.36E+07
0.0097,2.36E+07
0.0098,2.36E+07
0.0099,2.35E+07
0.01,2.35E+07
0.0101,2.35E+07
0.0102,2.35E+07
0.0103,2.36E+07
0.0104,2.36E+07
0.0105,2.36E+07
0.0106,2.36E+07
0.0107,2.35E+07
0.0108,2.35E+07
0.0109,2.35E+07
0.011,2.35E+07
0.0111,2.35E+07
0.0112,2.36E+07
0.0113,2.36E+07
0.0114,2.36E+07
0.0115,2.36E+07
0.0116,2.36E+07
0.0117,2.36E+07
0.0118,2.36E+07
0.0119,2.35E+07
0.012,2.35E+07
0.0121,2.35E+07
0.0122,2.35E+07
0.0123,2.35E+07
0.0124,2.35E+07
0.0125,2.35E+07
0.0126,2.35E+07
0.0127,2.35E+07
0.0128,2.35E+07
0.0129,2.35E+07
0.013,2.35E+07
0.0131,2.35E+07
0.0132,2.35E+07
0.0133,2.35E+07
0.0134,2.36E+07
0.0135,2.36E+07
0.0136,2.36E+07
0.0137,2.36E+07
0.0138,2.36E+07
0.0139,2.36E+07
0.014,2.36E+07
